,stars,name,feedback,avg_sent,gender,num_words,emoji
0,5,Стас,взять,1.0,M,1,0
1,4,Рахман,неплохой ещё успеть долго проносить,7.0,M,7,0
2,5,Андрю,норма,1.0,M,1,0
3,5,Сергей,,1.0,M,1,1
4,5,Алексей,нормальный дом ходить пойти брать,5.0,M,10,0
5,5,Иван,отличный сумма скинуть 500,5.5,M,12,0
6,5,Денис,,1.0,M,1,1
7,5,Тульский Тимур,классный,3.0,M,3,0
8,5,Михаил,хороший базовый мягкий хлопковый простой дорогой,4.5,M,9,0
9,5,Петров Александр,отличный,2.0,M,2,0
10,5,Тимофей,подчёркивать форма хороший качество,4.0,M,4,0
11,4,Покупатель,хороший,2.0,M,2,0
12,5,Карпец Артём,брать размер маленький фасон обтягивать брать одежда село ожидать,17.0,M,17,0
13,5,Баринов Иван,прям короткий ниже пояс джинс средний посадка интересный ткань качество высота,4.0,M,16,0
14,5,веренич олег,приятный тело,3.0,M,3,0
15,5,Поляков Виталий,хороший,2.0,M,2,0
16,5,Сергей,супер,1.0,M,1,0
17,5,Артём,приятный ощупь,3.0,M,3,0
18,5,сергей,футболочка супер мягкий размер советовать,7.0,M,9,1
19,5,Николай,хороший качество,2.0,M,2,0
20,5,Николай,хороший качество,2.0,M,2,0
21,5,Николай,хороший качество,2.0,M,2,0
22,5,Дземко Андрей,отличный,2.0,M,2,0
23,5,Мункуев Валерий,соответствовать описание качество хороший материал приятный тело смотреться классно,4.5,M,10,0
24,5,Мильков Алексей,отличный,2.0,M,2,0
25,4,артур,хороший подойти,4.0,M,4,0
26,5,Александр,,1.0,M,1,1
27,5,Стаценко Виктор,супер,2.0,M,2,0
28,5,Чекалов Роман,under armour рулить качество отличный подойти идеально спасибо lamoda расширять ассортимент бренд подвести рекомендовать,23.0,M,23,0
29,5,Трофимов Игорь,уровень спасибо большой советовать,4.0,M,8,0
30,5,Игорь,,1.0,M,1,3
31,5,Александр,бомба,2.0,M,2,1
32,5,Данил,,1.0,M,1,8
33,1,Сергей,деньга советовать катёшка неделя носка крой модель смотреться гораздо симпатичный итог оказаться слишком длинный рукав парашют широкий отказ,9.333333333333334,M,28,0
34,5,Данил,,1.0,M,1,6
35,2,Самошкин Александр,брать пара год назад катышек образоваться быстро шок дом ходить,6.333333333333333,M,20,1
36,4,Виталий,нормальный прорезь шея огромный звезда,10.0,M,11,0
37,5,Белов Евгений,огонь,1.0,M,1,0
38,5,Владислав,,1.0,M,1,1
39,5,Александр,качество хороший аналог воротник плотный,8.0,M,8,0
40,5,Руслан,обычный базовый каждый день цена соответствовать качество,4.5,M,9,0
41,5,Артём,размер размер приятный материал,6.0,M,6,1
42,5,Олег,носить удовольствие,3.0,M,3,0
43,5,Ислам,,1.0,M,1,1
44,5,Егор,хороший качество,2.0,M,2,0
45,5,Марат,,1.0,M,1,1
46,5,Тимур,классный,2.0,M,2,0
47,5,шамиль,хороший материал,2.0,M,2,0
48,4,Александр,хороший свой деньга,5.0,M,5,0
49,5,Сабир,качество хороший довольный покупка,4.0,M,4,0
50,5,Сергей,супер,1.0,M,2,0
51,5,Эльдар,,1.0,M,1,1
52,5,Сергей,соотношение цена качество оптимальный вариант,6.0,M,6,0
53,5,Фёдорович Виктор,отличный,1.0,M,1,0
54,5,Еропов вячеслав,норма,2.0,M,2,0
55,5,Захарченко Дмитрий,,1.0,M,1,3
56,5,Аслан,хороший цена,5.0,M,5,0
57,5,Эсет,хороший качество,3.0,M,3,0
58,5,Евгений,неплохой товар свой деньга,5.0,M,5,0
59,5,Жадов Олег,отличный,2.0,M,2,0
60,5,Аносов Павел,ткань ощупь приятный качество хороший,3.0,M,6,0
61,5,денис,хороший материал терять форма качественный принт,7.0,M,7,0
62,5,Василий,норма,1.0,M,1,0
63,5,Абакар,идеальный,1.0,M,1,0
64,5,Москалец Евгений,классный,2.0,M,2,0
65,5,Кадыров Ильяс,отличный качественный принт,4.0,M,4,0
66,5,Тарасов Игорь,качество порядок принт держаться размер соответствовать первый носка ещё пожрастянуться иметь ввиду,4.333333333333333,M,14,0
67,5,Тарасов Игорь,качество порядок принт держаться размер соответствовать первый носка ещё пожрастянуться иметь ввиду,4.333333333333333,M,14,0
68,5,Эдуард,качество топ,2.0,M,2,0
69,5,Давид,замечательный,2.0,M,2,0
70,5,Эльдар,прикольный размер соответствовать,4.0,M,4,0
71,5,Евгений,классный плотный качественный ткань прошить лезть размер подойти идеально отдельный тема принт прикольный качественный,6.0,M,24,0
72,5,Антон,качество высота,3.0,M,3,0
73,5,Максим,стирка линять садиться принт держаться плотно понравиться дизайн взять прогадать подойти событие каждый день,8.0,M,24,0
74,5,Василий,понравиться оригинальный принт сидеть летний вариант основный одежда мягкий,3.0,M,12,0
75,5,Роман,отличный мягкий посадка удобный,5.0,M,5,0
76,5,Гуров Даниил,устроить понравиться,6.0,M,6,0
77,5,Александр,качественный тонкий лето,5.0,M,5,0
78,5,Гоголев Андрей,качество ткань исполнение gap балл принтер сделать отлично размер соответствовать заказывать одновременно полый bekers springfild такокий размер несоответствие размер малый сторона размер неоднократно покупать полый gap соответствовать указанный размер рекомендовать покупка,8.666666666666666,M,53,0
79,4,Иван,качество осень,3.0,M,3,0
80,3,Куприянов Павел,маломерить размер,3.0,M,3,0
81,5,Арсен,хороший качество,2.0,M,2,0
82,5,Егор,отлично,2.0,M,2,1
83,5,Евгений,,1.0,M,1,1
84,5,Михаил,gap высота хороший каждый день,10.0,M,10,0
85,5,Иван,качество высота плотный ткань вышитый логотип размер соответствовать,9.0,M,9,0
86,5,андрей,качество посадка супер,3.0,M,3,0
87,4,Семен,забавный большемерить немного,4.0,M,5,0
88,3,Филат,цена разный,2.0,M,2,0
89,5,Александр,лето идеально,3.0,M,3,0
90,5,Рамиль,немного мешковатый хороший,6.0,M,6,0
91,5,Алексей,сидеть качество вроде нормальный посмотреть стирка единственный долго продержаться принт,8.5,M,17,0
92,5,павел,хороший хлопок ровный шов,4.0,M,4,0
93,5,Виктор,маломерить сильно плечо брать размер большой остальной хороший цвет,13.0,M,13,0
94,5,Дмитрий,качественный приятный тело мяться размер соответствовать таблица фирма длиный предел нужный длина,12.5,M,25,0
95,5,Виктор,размер размер качество достойный,6.0,M,6,0
96,5,карюхин иван,качество отличный стирка двадцать выглядеть новый,4.5,M,9,0
97,5,Сергей,хороший качественный материал тянуться сшить туловище обжимать довольно свободный,14.0,M,14,0
98,5,Руслан,смотреться,2.0,M,2,0
99,5,Сергей,приятный материал достойно смотреться размер размер,3.5,M,7,0
100,5,Андрей,отличный размер соответствовать,4.0,M,4,0
101,5,Четвериков Александр,качество хороший материал мягкий приятный первый стирка увеличиться размер,6.5,M,14,0
102,5,Иванов Валерий,отличный соотношение цена качество,5.0,M,5,0
103,5,Иванов Валерий,отличный соотношение цена качество,5.0,M,5,0
104,5,Сергей,майк хороший особо плотный,6.0,M,6,0
105,5,Тимур,круто,1.0,M,1,0
106,4,Владислав,приятный тело тонкий ткань 183 смотреть взять село,7.5,M,15,0
107,5,Ринат,крупный тело самый,5.0,M,5,0
108,5,Евгений,отличный качество большемерить прийтись заказывать размер маленький,8.0,M,8,0
109,5,Зимин Владимир,супер качество хороший,1.5,M,3,0
110,5,Владимир,отличный вещь размер подойти,2.0,M,4,0
111,5,Сергей,качество высота,3.0,M,3,0
112,5,Михаил,качественно,2.0,M,2,0
113,3,Христенко Андрей,большемерить размер указывать размер 3xl качество отличный плотный,15.0,M,19,0
114,3,Алексей,большемерить примерно размер качество вопрос прошить нитка торчать пример положить свой обычный размер поверх,23.0,M,23,0
115,5,андрей,суперский качество,2.0,M,2,0
116,5,Андрей,,1.0,M,1,1
117,5,Андрей,,1.0,M,1,1
118,5,Андрей,деньга,4.0,M,4,1
119,5,Андрей,круто,1.0,M,1,0
120,5,Андрей,супер,1.0,M,1,0
121,5,Андрей,отлично,1.0,M,1,0
122,5,Андрей,деньга вполне достойно,5.0,M,5,0
123,5,меньков артур,немного маломерить матерьял,2.0,M,4,0
124,5,меньков артур,немного маломерить матерьял,2.0,M,4,0
125,5,александр,идеально село одевать пиджак,6.0,M,6,0
126,5,Ботнарь  Валерий,,2.0,M,2,2
127,5,Ботнарь  Валерий,,2.0,M,2,2
128,5,Кирилл,крутой советовать качество boss,3.0,M,6,0
129,5,Кирилл,целое понравиться,4.0,M,4,0
130,5,Андрей,отличный ткань аккуратный шов размер размер стильно красиво соответствовать бренд,2.4,M,12,0
131,5,Евгений,отличный качество довольный покупка,4.0,M,4,0
132,5,Эдик,хороший базовый,3.0,M,3,0
133,4,Александр Толмачев,хороший качество,2.0,M,2,0
134,4,Артем,слегка просвечиваться,2.0,M,2,0
135,5,Денис,супер,2.0,M,2,0
136,5,Олег,хороший качественный деньга редкость наш время,5.0,M,10,0
137,5,Макс,неплохой,2.0,M,2,0
138,5,Руслан,хороший качество,2.0,M,2,0
139,5,Аркадий,удобно качество,4.0,M,4,0
140,5,Роман,отличный качество сидеть плотный ткань,3.0,M,6,0
141,5,Андрей,,1.0,M,1,1
142,5,Владимир,отличный,2.0,M,2,0
143,5,Михайлов Михаил,качество,2.0,M,2,3
144,5,алексей,стирка ещё хороший качество,6.0,M,6,1
145,5,Южиков Александр,базовый хороший качество,5.0,M,5,0
146,5,Павел,супер,1.0,M,1,0
147,5,Антон,супер качество,2.0,M,2,0
148,3,Александр,плотный,3.0,M,3,0
149,5,Эрик,супер,1.0,M,1,0
150,5,Дмитрий,отличный качество рекомендовать,1.5,M,3,0
151,5,Дмитрий,отличный качество,2.0,M,2,0
152,5,андрей,необычный материал цвет насыщенный,3.0,M,4,0
153,5,Тютчев Иван,чётко приятный тело цвет фото,4.5,M,9,0
154,5,Игорь,приятный ткань сидеть,6.0,M,6,0
155,5,Александр,хороший качество,2.0,M,2,0
156,5,Морозов Артем,хороший майк широкий цвет насыщенный приятный тело длинный,2.5,M,10,0
157,5,Денис,яркий качество супер размер рост подойти идеально,11.0,M,11,0
158,5,Оньков Артем,цвет красивый качество трикотаж отличный большемерить,7.0,M,8,0
159,5,Цветков Роман,размер соответствовать ткань стрейч приятный цвет яркий рекомендоваться аля,10.0,M,11,0
160,5,алексей,пойти,1.0,M,1,0
161,5,Максим,яркий лёгкий лето подойти обычно хотя офис радовать глаз человек сидеть,5.333333333333333,M,16,0
162,5,Игорь,необычный расцветка любить оригинальный вещь вполне свободный удобный,4.0,M,8,0
163,5,Марат,свободный цвет яркий фото понравиться,9.0,M,9,0
164,5,Николаев Алексей,хороший шорты,2.0,M,2,0
165,5,андрей,хороший качество,2.0,M,2,0
166,5,Сергей,отличный,2.0,M,2,0
167,3,Асель,тонкий прозрачный,3.0,M,3,0
168,3,Асель,хороший крой чересчур прозрачный ткань отказ,3.5,M,7,0
169,5,Андрей,немного просвечивать,2.0,M,4,0
170,5,Александр,,3.0,M,3,1
171,5,Дмитрий,отличный приятный тело размер размер,4.5,M,9,0
172,5,Баян,качество хороший хороший базовый,2.5,M,5,0
173,5,Дмитрий,отлично,1.0,M,1,0
174,5,Константин,,1.0,M,1,1
175,2,Тимур,материал лёгкий хороший просвечивать подойти думать дом,5.0,M,10,0
176,4,Каримов Алтынбек,качество неплохой сидеть отлично просвечивать немного желтить,11.0,M,11,0
177,3,Сергей,цвет желтоватый качество хороший,5.0,M,5,0
178,5,Мольдер,качество хороший оказаться просвечивать,6.0,M,6,0
179,5,Максим,цена соответствовать качество,3.0,M,3,0
180,5,Мурсалов Мухамед,,1.0,M,1,0
