,stars,name,feedback,avg_sent,gender,num_words,emoji
1405,5,наталья,хороший взять спасибо,2.5,F,5,0
1406,5,Максим,класс,1.0,F,1,0
1407,5,Виктория,размер хороший качество,2.0,F,4,0
1408,5,Наталия,хороший хлопковый,3.0,F,3,0
1409,5,Анастасия,классный,1.0,F,1,0
1410,5,Татьяна,хороший,2.0,F,2,0
1411,4,Бабина Надежда,принт дешевить,2.0,F,2,0
1412,3,Яна,прийти пятно,3.0,F,3,0
1413,2,Маргарита,первый стирка стереться принт рекомендовать,8.0,F,8,0
1414,3,елена,дополнять отзыв хороший качество плотный принт отстирываться стирка начать стираться принт жалко принт подвести,11.0,F,22,0
1415,5,Ирина,качественный сидеть отлично размер размер рекомендовать,7.0,F,7,0
1416,5,Маша,хороший качество,2.0,F,2,0
1417,5,Татьяна,классный плотный лето жарко приятный тело,4.0,F,8,0
1418,5,Anastasia,хороший майк,2.0,F,2,0
1419,5,Алина,отличный покупать подарок,4.0,F,4,0
1420,5,Манас,соответствие цена качество,5.0,F,5,1
1421,5,Андрей,отличный майк хороший качество,4.0,F,4,0
1422,5,Ирина,классный,2.0,F,2,0
1423,5,Татьяна,отличный майк размер купить,3.5,F,7,0
1424,5,Наталья,крутой надпись яркий красивый,6.0,F,6,0
1425,5,Наталья,плотный ткань размер размер отличный качество,7.0,F,7,0
1426,4,ирина,плотный хлопок стирка надпись облезлый,7.0,F,7,0
1427,4,Хадаркевич Инесса,белоснежный средний плотность хлопок рыхлый,8.0,F,8,0
1428,5,Анна,идеально,2.0,F,2,1
1429,5,Валентина,хороший качество,2.0,F,2,0
1430,5,Елена,свободный крой,2.0,F,2,0
1431,5,Герасименко Анна,хороший,2.0,F,2,0
1432,5,Екатерина,базовый хороший,1.0,F,2,0
1433,5,юлия,хороший качественный размер цвет скорее молочный,4.0,F,8,0
1434,5,яна,отличный средний длина рекомендовать,5.0,F,5,0
1435,5,Анастасия,отличный качество,2.0,F,2,0
1436,5,Татьяна,хорошоя качество советовать,3.0,F,3,0
1437,4,Ольга,обычный базовый,3.0,F,3,0
1438,5,Алена,крутой,2.0,F,2,0
1439,5,Эвия,красивый футболочка подойти размер яркий велюровый надпись,12.0,F,12,0
1440,2,Мария,хороший надпись отстираться первый стирка обидно,11.0,F,11,0
1441,5,Galina,надпись цвет фуксия качество хороший размер размер,8.0,F,8,0
1442,5,Краснова Ольга,милый футболочка надпись розовый цвет,5.0,F,5,0
1443,5,Мария,соответствовать размер качество супер,4.0,F,4,0
1444,5,Дарья,отличный хороший качество,4.0,F,4,0
1445,5,Лях Юрий,качество отличный плотный качественный жена довольный подойти отлично рекомендовать,2.8,F,14,0
1446,5,Татьяна,ткань плотный хороший футболочка понравиться,6.0,F,6,0
1447,5,Виктория,отличный качество ткань,3.0,F,3,0
1448,4,Елена,хороший майк достаточно плотный,4.0,F,4,0
1449,5,Екатерина,отличный стоимость,5.0,F,5,0
1450,5,Екатерина,качество отличный лето самый,4.0,F,8,0
1451,5,Наталия,качество отличный шов ровный,4.0,F,4,0
1452,5,Марина,отличный,2.0,F,2,0
1453,5,наталья,,1.0,F,1,1
1454,3,Киняшкина Анастасия,фото казаться рисунок вышитый наклейка,9.0,F,9,0
1455,2,Кристина,кривая выкройка торчать плечо вверх странно несуразно почему подумать вышивка также электролизоваться сильно немного маломерить советовать,4.0,F,24,0
1456,3,Рассказова КсениЯ,качество хороший узенький плечо показаться рисунок вышитый оказаться рисунок качество норма спереди низ длинный сзади отказ,3.0,F,21,0
1457,5,Магомедова Мария,качественный идти размер,4.0,F,4,0
1458,5,Ирина,точно фото плотный трикотаж свободный крой яркий цвет полностью оправдать ожидание купить кирпичный цвет джинсовый комбинезон шорты смотреться стильно,5.0,F,25,0
1459,4,Жасмин,цветовой гамма хороший хватать,10.0,F,10,0
1460,5,Ольга,прям большой оверсайза идти,9.0,F,9,0
1461,1,NadyaNadya,стоить свой стоимость слишком неприятный материал большемерить,3.0,F,9,0
1462,5,Валентина,,1.0,F,1,3
1463,5,Мая,удобный,3.0,F,3,0
1464,5,Мая,хороший качество,4.0,F,4,0
1465,5,Марина,хороший качественный плотный трикотаж свой заказать оказаться больший взять размер маленький село отлично,9.5,F,19,0
1466,5,Марина,купить дочка достаточно плотный деформироваться размер нее44 оба свободный отлично джинсы кожаный куртка,27.0,F,27,0
1467,5,Марина Голоева,мощный село прям выглядеть дорого,4.0,F,8,0
1468,5,Елена,хороший качество модель классический,5.0,F,5,0
1469,4,Ирина,цвет картинка ошибиться размер свой брать взять размер большой плотный слишком рост 168 идеально отказ равно,12.666666666666666,F,38,0
1470,5,Наталья,приятный цвет,3.0,F,3,0
1471,5,Курбанова Гульназ,качество хороший,2.0,F,2,0
1472,5,Марина,отличный,2.0,F,2,0
1473,5,Ирина,,1.0,F,1,1
1474,5,Ирина,простой цвет бледный фото качество хороший летний прогулка ребёнок пробежка класс,6.333333333333333,F,19,0
1475,5,Марина,плотный мягкий качество хороший,4.0,F,4,0
1476,5,Ирина,взять размер большой свободно сидеть хотеть цвет ткань приятный,6.5,F,13,0
1477,5,Ольга,хороший,2.0,F,2,0
1478,5,Анастасия,,1.0,F,1,3
1479,5,Катерина,отличный белый кремовый цвет торс свободный рукав хотеться длинный свободный мера плотный подойти жарка погода очертание бельё незаметный равно оставить идти размер обтяга,8.6,F,43,0
1480,5,Бондарь Дарья,хороший базовый футболочка,4.0,F,4,1
1481,5,Яна,заказывать самый хороший качество приятный глаз зелёный цвет соответствие фото 100 параметр 101 взять размер получиться слегка свободно хотеть довольный,13.0,F,39,0
1482,5,Наталья,хороший,2.0,F,6,0
1483,5,Anastasia,супер приятный цвет весёлый принт самый главное правильный оверсайза сидеть мешок стильненький,5.333333333333333,F,16,0
1484,5,Алёна,освежать вид хлопок просвечивать выкуп,7.0,F,7,0
1485,5,София,хороший покупать подарок,5.0,F,5,0
1486,4,римма,хороший,3.0,F,3,1
1487,5,Наталья,приятный тело ткань хороший расцветка качество обработка шов высота,10.0,F,10,0
1488,2,Ольга,длинный широкий высокий рост,4.0,F,8,0
1489,5,Андреевская Евгения,клёвый,1.5,F,3,1
1490,5,Nergis,милый принтом нравиться ожидать маленький заказывать сидеть свой размер оверсайза средний таки оставить,11.333333333333334,F,34,0
1491,5,семенова Елена,клёвый молодёжный выкупить внучка,6.0,F,6,1
1492,3,Высотина Олеся,качество хороший стирка село выцвелый брать дочь год свободно типо оверсайза получиться,8.0,F,16,0
1493,5,Алёна,хороший приятный наощупь выглядеть красиво,6.0,F,6,0
1494,5,Марианна,милый панда 100 хлопок,6.0,F,6,0
1495,5,Олеся,классный идти размер,5.0,F,5,0
1496,5,Марина,приятный тело,3.0,F,3,0
1497,5,валентина,качество приятный фасон свободный размер идти размер стирать знать полинять,3.4,F,17,0
1498,5,Роза,отличный взять цвет коротковатый смертельно,3.333333333333333,F,10,0
1499,5,Мадина,отличный,3.0,F,3,1
1500,5,Роза,огонь белый базовый бывать купить сразу цвет,3.6666666666666665,F,11,0
1501,5,Galya,хороший плотный ткань цвет белый довольный,6.0,F,6,0
1502,5,Людмила,хороший качественный достаточно плотный бельё просвечивать размер размер,11.0,F,11,0
1503,5,Наташа,отличный плотный белый размер размер,7.0,F,7,0
1504,5,Светлана,хороший базовый плотный трикотаж брать село отлично обтягивать мера нравиться,9.5,F,19,0
1505,4,Ксения,качество хороший сильно большемерить брать размер маленький хотеть оверсайза,13.0,F,13,0
1506,5,Анна,хороший носка пока знать,8.0,F,8,0
1507,5,нино,качество,2.0,F,2,1
1508,5,Ольга,около отлично,3.0,F,3,0
1509,5,Евгения,,1.0,F,1,1
1510,5,Евгения,нужный широкий решить заказать модель носить заказывать взять прям,10.5,F,21,0
1511,5,Юлия,носить брать примерка прям больший хотя любить оверсайза многовато смело брать свободно качество отличный ждать,17.5,F,35,0
1512,5,Ирина,отличный свободный удобный,1.5,F,3,0
1513,5,Жансая,взять размер большемерить размер качество 100 оправдывать свой цена равно оставить,6.0,F,18,0
1514,5,Ольга,отличный взять размер маленький смотреться,10.0,F,10,1
1515,5,Анастасия,крутой большемерить одевать зал,3.5,F,7,0
1516,3,татьяна,цвет выстирать чёрный хороший,7.0,F,7,0
1517,5,елена,размер взять брать крой свободный,5.5,F,11,0
1518,5,Локьяева Залина,удобный,2.0,F,2,0
1519,5,Milana,,1.0,F,1,1
1520,5,Екатерина,просто нереально огромный свой заказать утонуть качество претензия,17.0,F,17,0
1521,5,светлана,хороший качество,2.0,F,2,0
1522,5,Мария,качество,2.0,F,2,1
1523,5,лилия,прикольный ткань плотный отказаться выбрать,5.0,F,10,0
1524,5,Анастасия,классный повседнёвка самый,6.0,F,6,0
